"Date","Corr30"
"2024-02-15","-0.158"
"2024-02-16","-0.315"
"2024-02-20","-0.34"
"2024-02-21","-0.335"
"2024-02-22","-0.273"
"2024-02-23","-0.271"
"2024-02-26","-0.284"
"2024-02-27","-0.326"
"2024-02-28","-0.097"
"2024-02-29","-0.105"
"2024-03-01","-0.207"
"2024-03-04","-0.096"
"2024-03-05","0.085"
"2024-03-06","-0.039"
"2024-03-07","-0.022"
"2024-03-08","-0.036"
"2024-03-11","-0.037"
"2024-03-12","-0.03"
"2024-03-13","0.014"
"2024-03-14","0.02"
"2024-03-15","0.086"
"2024-03-18","0.109"
"2024-03-19","0.094"
"2024-03-20","0.111"
"2024-03-21","0.094"
"2024-03-22","0.041"
"2024-03-25","0.095"
"2024-03-26","0.153"
"2024-03-27","0.182"
"2024-03-28","0.16"
"2024-04-01","0.179"
"2024-04-02","0.166"
"2024-04-03","0.108"
"2024-04-04","0.106"
"2024-04-05","0.076"
"2024-04-08","0.041"
"2024-04-09","0.043"
"2024-04-10","0.101"
"2024-04-11","0.094"
"2024-04-12","0.137"
"2024-04-15","0.157"
"2024-04-16","0.14"
"2024-04-17","0.046"
"2024-04-18","0.122"
"2024-04-19","0.109"
"2024-04-22","0.111"
"2024-04-23","-0.051"
"2024-04-24","-0.048"
"2024-04-25","-0.046"
"2024-04-26","-0.057"
"2024-04-29","-0.073"
"2024-04-30","-0.086"
"2024-05-01","0.024"
"2024-05-02","-0.01"
"2024-05-03","-0.001"
"2024-05-06","0.016"
"2024-05-07","-0.014"
"2024-05-08","-0.069"
"2024-05-09","-0.064"
"2024-05-10","-0.038"
"2024-05-13","-0.106"
"2024-05-14","-0.152"
"2024-05-15","-0.113"
"2024-05-16","-0.011"
"2024-05-17","0.011"
"2024-05-20","0.06"
"2024-05-21","0.1"
"2024-05-22","0.126"
"2024-05-23","0.158"
"2024-05-24","0.189"
"2024-05-28","0.196"
"2024-05-29","0.223"
"2024-05-30","0.229"
"2024-05-31","0.206"
"2024-06-03","0.204"
"2024-06-04","0.218"
"2024-06-05","0.363"
"2024-06-06","0.359"
"2024-06-07","0.352"
"2024-06-10","0.375"
"2024-06-11","0.38"
"2024-06-12","0.373"
"2024-06-13","0.293"
"2024-06-14","0.352"
"2024-06-17","0.321"
"2024-06-18","0.345"
"2024-06-20","0.321"
"2024-06-21","0.307"
"2024-06-24","0.319"
"2024-06-25","0.241"
"2024-06-26","0.295"
"2024-06-27","0.367"
"2024-06-28","0.401"
"2024-07-01","0.317"
"2024-07-02","0.299"
"2024-07-03","0.26"
"2024-07-05","0.12"
"2024-07-08","0.01"
"2024-07-09","-0.017"
"2024-07-10","-0.047"
"2024-07-11","-0.043"
"2024-07-12","-0.048"
"2024-07-15","-0.056"
"2024-07-16","-0.009"
"2024-07-17","-0.014"
"2024-07-18","-0.025"
"2024-07-19","0.004"
"2024-07-22","-0.105"
"2024-07-23","-0.105"
"2024-07-24","-0.183"
"2024-07-25","-0.184"
"2024-07-26","-0.189"
"2024-07-29","-0.168"
"2024-07-30","-0.206"
"2024-07-31","-0.203"
"2024-08-01","-0.213"
"2024-08-02","-0.201"
"2024-08-05","-0.16"
"2024-08-06","-0.046"
"2024-08-07","-0.045"
"2024-08-08","-0.03"
"2024-08-09","0.067"
"2024-08-12","0.058"
"2024-08-13","0.036"
"2024-08-14","0.043"
"2024-08-15","0.065"
"2024-08-16","0.092"
"2024-08-19","0.165"
"2024-08-20","0.169"
"2024-08-21","0.168"
"2024-08-22","0.16"
"2024-08-23","0.19"
"2024-08-26","0.227"
"2024-08-27","0.23"
"2024-08-28","0.234"
"2024-08-29","0.232"
"2024-08-30","0.235"
"2024-09-03","0.356"
"2024-09-04","0.365"
"2024-09-05","0.375"
"2024-09-06","0.357"
"2024-09-09","0.469"
"2024-09-10","0.441"
"2024-09-11","0.441"
"2024-09-12","0.459"
"2024-09-13","0.481"
"2024-09-16","0.501"
"2024-09-17","0.489"
"2024-09-18","0.375"
"2024-09-19","0.416"
"2024-09-20","0.418"
"2024-09-23","0.341"
"2024-09-24","0.346"
"2024-09-25","0.411"
"2024-09-26","0.411"
"2024-09-27","0.367"
"2024-09-30","0.356"
"2024-10-01","0.357"
"2024-10-02","0.272"
"2024-10-03","0.274"
"2024-10-04","0.299"
"2024-10-07","0.26"
"2024-10-08","0.179"
"2024-10-09","0.182"
"2024-10-10","0.194"
"2024-10-11","0.18"
"2024-10-14","0.239"
"2024-10-15","0.164"
"2024-10-16","0.151"
"2024-10-17","0.153"
"2024-10-18","0.185"
"2024-10-21","0.118"
"2024-10-22","0.118"
"2024-10-23","0.11"
"2024-10-24","0.147"
"2024-10-25","0.152"
"2024-10-28","0.083"
"2024-10-29","0.049"
"2024-10-30","0.154"
"2024-10-31","0.143"
"2024-11-01","0.237"
"2024-11-04","0.247"
"2024-11-05","0.253"
"2024-11-06","0.238"
"2024-11-07","-0.132"
"2024-11-08","-0.147"
"2024-11-11","-0.146"
"2024-11-12","-0.466"
"2024-11-13","-0.426"
"2024-11-14","-0.446"
"2024-11-15","-0.412"
"2024-11-18","-0.407"
"2024-11-19","-0.413"
"2024-11-20","-0.43"
"2024-11-21","-0.443"
"2024-11-22","-0.41"
"2024-11-25","-0.446"
"2024-11-26","-0.184"
"2024-11-27","-0.187"
"2024-11-29","-0.167"
"2024-12-02","-0.159"
"2024-12-03","-0.144"
"2024-12-04","-0.141"
"2024-12-05","-0.129"
"2024-12-06","-0.124"
"2024-12-09","-0.124"
"2024-12-10","-0.143"
"2024-12-11","-0.162"
"2024-12-12","-0.147"
"2024-12-13","-0.111"
"2024-12-16","-0.163"
"2024-12-17","-0.162"
"2024-12-18","-0.162"
"2024-12-19","-0.147"
"2024-12-20","0.018"
"2024-12-23","0.016"
"2024-12-24","0.031"
"2024-12-26","0.486"
"2024-12-27","0.449"
"2024-12-30","0.489"
"2024-12-31","0.488"
"2025-01-02","0.513"
"2025-01-03","0.564"
"2025-01-06","0.55"
"2025-01-07","0.518"
